date,nghh,oilwti,vix,cpi
2005M1,6.15,46.82,12.82,190.7
2005M2,6.14,47.96,12.08,191.8
2005M3,6.65,54.17,14.02,193.3
2005M4,7.18,52.96,15.31,194.6
2005M5,6.47,49.81,13.29,194.4
2005M6,7.18,56.39,12.04,194.5
2005M7,7.65,58.67,11.57,195.4
2005M8,9.52,64.96,12.6,196.4
2005M9,12.42,65.54,11.92,198.8
2005M10,13.63,62.36,15.32,199.2
2005M11,10.3,58.28,12.06,197.6
2005M12,13.05,59.41,12.07,196.8
2006M1,8.69,65.48,12.95,198.3
2006M2,7.53,61.62,12.34,198.7
2006M3,6.88,62.89,11.39,199.8
2006M4,7.17,69.54,11.59,201.5
2006M5,6.25,70.93,16.44,202.5
2006M6,6.2,70.93,13.08,202.9
2006M7,6.17,74.4,14.95,203.5
2006M8,7.13,73.04,12.31,203.9
2006M9,4.9,63.82,11.98,202.9
2006M10,5.84,58.85,11.1,201.8
2006M11,7.41,59.13,10.91,201.5
2006M12,6.73,62,11.56,201.8
2007M1,6.53,54.24,10.42,202.416
2007M2,8,59.25,15.42,203.499
2007M3,7.11,60.6,14.64,205.352
2007M4,7.6,63.94,14.22,206.686
2007M5,7.64,63.45,13.05,207.949
2007M6,7.35,67.49,16.23,208.352
2007M7,6.22,74.14,23.52,208.299
2007M8,6.22,72.38,23.38,207.917
2007M9,6.07,79.91,18,208.49
2007M10,6.74,85.9,18.53,208.936
2007M11,7.11,94.76,22.87,210.177
2007M12,7.13,91.36,22.5,210.036
2008M1,7.98,92.98,26.2,211.08
2008M2,8.54,95.38,26.54,211.693
2008M3,9.41,105.47,25.61,213.528
2008M4,10.18,112.62,20.79,214.823
2008M5,11.27,125.37,17.83,216.632
2008M6,12.68,133.93,23.95,218.815
2008M7,11.09,133.38,22.94,219.964
2008M8,8.25,116.64,20.65,219.086
2008M9,7.62,103.94,39.39,218.783
2008M10,6.74,76.61,59.89,216.573
2008M11,6.7,57.29,55.28,212.425
2008M12,5.84,41.44,40,210.228
2009M1,5.23,41.74,44.84,211.143
2009M2,4.49,39.15,46.35,212.193
2009M3,3.96,47.98,44.14,212.709
2009M4,3.49,49.81,36.5,213.24
2009M5,3.83,59.12,28.92,213.856
2009M6,3.8,69.58,26.35,215.693
2009M7,3.39,64.14,25.92,215.351
2009M8,3.14,71.06,26.01,215.834
2009M9,2.99,69.44,25.61,215.969
2009M10,4,75.77,30.69,216.177
2009M11,3.68,78,24.51,216.33
2009M12,5.35,74.49,21.68,215.949
2010M1,5.84,78.34,24.62,216.687
2010M2,5.32,76.3,19.5,216.741
2010M3,4.29,81.25,17.59,217.631
2010M4,4.04,84.5,22.05,218.009
2010M5,4.15,73.74,32.07,218.178
2010M6,4.8,75.35,34.54,217.965
2010M7,4.63,76.16,23.5,218.011
2010M8,4.31,76.6,26.05,218.312
2010M9,3.89,75.26,23.7,218.439
2010M10,3.43,81.9,21.2,218.711
2010M11,3.71,84.19,23.54,218.803
2010M12,4.25,89.22,17.75,219.179
2011M1,4.49,89.51,19.53,220.223
2011M2,4.09,89.37,18.35,221.309
2011M3,3.97,102.92,17.74,223.467
2011M4,4.24,110.04,14.75,224.906
2011M5,4.31,101.25,15.45,225.964
2011M6,4.54,96.25,16.52,225.722
2011M7,4.42,97.19,25.25,225.922
2011M8,4.05,86.32,31.62,226.545
2011M9,3.89,85.62,42.96,226.889
2011M10,3.56,86.41,29.96,226.421
2011M11,3.26,97.07,27.8,226.23
2011M12,3.16,98.61,23.4,225.672
2012M1,2.67,100.15,19.44,226.665
2012M2,2.53,102.26,18.43,227.663
2012M3,2.16,106.15,15.5,229.392
2012M4,1.95,103.28,17.15,230.085
2012M5,2.43,94.51,24.06,229.815
2012M6,2.45,82.36,17.08,229.478
2012M7,2.96,87.89,18.93,229.104
2012M8,2.84,94.11,17.47,230.379
2012M9,2.85,94.61,15.73,231.407
2012M10,3.32,89.52,18.6,231.317
2012M11,3.54,86.69,15.87,230.221
2012M12,3.34,88.19,18.02,229.601
2013M1,3.33,94.65,14.28,230.28
2013M2,3.33,95.3,15.51,232.166
2013M3,3.81,93.12,12.7,232.773
2013M4,4.17,92.02,13.52,232.531
2013M5,4.04,94.72,16.3,232.945
2013M6,3.83,95.79,16.86,233.504
2013M7,3.62,104.55,13.45,233.596
2013M8,3.42,106.55,17.01,233.877
2013M9,3.62,106.31,16.6,234.149
2013M10,3.68,100.5,13.75,233.546
2013M11,3.62,93.81,13.7,233.069
2013M12,4.24,97.9,13.72,233.049
2014M1,4.7,95,18.41,233.916
2014M2,5.98,100.7,14,234.781
2014M3,4.88,100.57,13.88,236.293
2014M4,4.63,102.18,13.41,237.072
2014M5,4.56,102,11.4,237.9
2014M6,4.57,105.24,11.57,238.343
2014M7,4.01,102.99,16.95,238.25
2014M8,3.89,96.38,11.98,237.852
2014M9,3.92,93.35,16.31,238.031
2014M10,3.77,84.4,14.03,237.433
2014M11,4.1,75.7,13.33,236.151
2014M12,3.43,59.1,19.2,234.812
