Reasons ,Current user 0,Current user,Lost customer 0,Lost customer,Non-adopter in IDCOL Program villages 0,Non-adopter in IDCOL Program villages,Non-adopter in non-IDCOL Program villages 0,Non-adopter in non-IDCOL Program villages
Produce smoke,-12.72,12.72,0,0,0,0,0,0
Ash and residues formed under the pot,-20.69,20.69,0,0,0,0,0,0
Didn't like sieve or not convenient,-13.93,13.93,0,0,0,0,0,0
Chimney is missing - PO didn't provide,-6.28,6.28,0,0,0,0,0,0
shape of the stove opening isn’t feasible/suitable,-24.88,24.88,0,0,0,0,0,0
Cannot cook in large pots,0,0,-7.69,7.69,-8.86,8.86,-11.32,11.32
Certain foods take longer to cook,0,0,-15.38,15.38,-8.86,8.86,-5.66,5.66
Cannot use large pieces of firewood,0,0,-46.15,46.15,-33.76,33.76,-17.92,17.92
Requires too much maintenance,0,0,-12.82,12.82,-7.17,7.17,-2.83,2.83
Food does not taste good,0,0,-2.56,2.56,-0.84,0.84,-1.89,1.89
Too expensive,-2.17,2.17,0,0,-9.7,9.7,-10.38,10.38
Already using a clean stove,0,0,0,0,-3.8,3.8,-6.6,6.6
Other,-19.32,19.32,-15.38,15.38,-27,27,-43.4,43.4
